Product_ID,Product_Name,Category_ID,SubCategory_ID,Brand_ID,Unit_Cost,Unit_Price,Warranty_Years
1,Philips 55PUT7630/98 55'' UHD Smart Led TV,1,1,1.0,280,360,2
2,Samsung UE55U8000FUXMU 55'' Led TV,1,1,2.0,310,400,2
3,Samsung TU32H5005FKXXC 32'' Led TV,1,1,2.0,160,210,2
4,Samsung UE43U8000FUXMU 43'' Led TV,1,1,2.0,230,300,2
5,Philips 40PFT6509/98 40'' Led TV,1,1,1.0,140,180,2
6,Samsung QE50Q7FAAUXMU 50'' Led TV,1,1,2.0,310,400,2
7,Philips 43PUT7630/98 43'' UHD Smart Led TV,1,1,1.0,200,260,2
8,Philips 50PUT7630/98 50'' UHD Smart Led TV,1,1,1.0,230,300,2
9,"Hisense 40A4N 40"" FHD Smart Led TV",1,1,3.0,140,180,2
10,Philips 65PUT7630/98 65'' UHD Smart Led TV,1,1,1.0,470,610,2
11,Hisense 43A6N 43” UHD Smart Led TV,1,1,3.0,230,300,2
12,"Hisense 55A6N 55"" 4K Smart Led TV",1,1,3.0,280,360,2
13,"Hisense 50A6N 50"" 4K Smart Led TV",1,1,3.0,230,300,2
14,Samsung TU70U8005FUXXC 70'' Led TV,1,1,2.0,610,790,2
15,"Hisense 32A4N 32"" HD Ready Smart Led TV",1,1,3.0,110,140,2
16,"Hisense 58A6N 58"" 4K Smart Led TV",1,1,3.0,300,390,2
17,Hisense 32A5NQ 32” Qled FHD smart TV,1,1,3.0,160,210,2
18,Samsung UE50U8000FUXMU 50'' Led TV,1,1,2.0,300,390,2
19,Samsung TU75U8005FUXXC 75'' Led TV,1,1,2.0,860,1120,2
20,"Hisense 65A6N 65"" 4K Smart Led TV",1,1,3.0,390,510,2
21,Samsung TQ85Q60DAUXXC QLED TV,1,1,2.0,1560,2030,2
22,Samsung QE55Q7FAAUXMU 55'' QLed TV,1,1,2.0,390,510,2
23,"Hisense 55U6K 55"" Qled Smart Tv",1,1,3.0,360,470,2
24,"Toshiba 55C350NN 55"" 4k SMART Led Tv",1,1,4.0,360,470,2
25,Samsung TQ65S90DATXXC OLED Screen TV,1,1,2.0,1560,2030,2
26,"Toshiba 50C350NN 50"" 4k SMART Led Tv",1,1,4.0,300,390,2
27,Toshiba 43C350MN 43” 4K smart Led TV,1,1,4.0,230,300,2
28,"Hisense 75U6K 75"" Qled Smart Tv",1,1,3.0,700,910,2
29,Sony 43X75K 43'' 4K Smart Android Led TV,1,1,5.0,390,510,2
30,Xiaomi TV A 43 2026,1,1,6.0,250,330,2
31,Xiaomi TV A Pro 65 2026,1,1,6.0,500,650,2
32,Samsung UE65U8000FUXMU 65'' Led TV,1,1,2.0,620,810,2
33,Philips 32PHT6509/98 32'' HD Ready Smart Led TV,1,1,1.0,110,140,2
34,Hisense 50E7H 50” Qled Smart Tv,1,1,3.0,300,390,2
35,"Toshiba 65C350NN 65"" 4k SMART Led Tv",1,1,4.0,500,650,2
36,Samsung QE65Q7FAAUXMU 65'' Led TV,1,1,2.0,620,810,2
37,Hisense HE100L5 100” Laser TV 4K smart,1,1,3.0,3110,4040,2
38,Xiaomi TV A Pro 55 2026,1,1,6.0,370,480,2
39,Hisense 32A4H 32'' Smart HD Ready Led TV,1,1,3.0,110,140,2
40,"Hisense 65U6K 65"" Qled Smart Tv",1,1,3.0,470,610,2
41,Sony 50X75K 50'' 4K Smart Android Led TV,1,1,5.0,470,610,2
42,Sony 65A 80L 65” Oled smart Tv,1,1,5.0,1870,2430,2
43,Sony KD-65X75K 4K Smart Android Led Tv,1,1,5.0,700,910,2
44,Samsung UA55AU7000UXKE 55'' LED TV,1,1,2.0,280,360,2
45,Hisense 85A7500WF 85'' 4K Smart TV,1,1,3.0,780,1010,2
46,Hisense 55U7WF 55'' Uled 4K Smart TV,1,1,3.0,360,470,2
47,Samsung UA32T5300AUXKE 32'' HD Ready Smart TV,1,1,2.0,110,140,2
48,Hisense 40A4G 40” FHD Smart Led TV,1,1,3.0,110,140,2
49,Hisense 32A4G 32'' HD Ready Smart TV,1,1,3.0,90,120,2
50,"JVC LT-50N795M 50"" UHD SMART TV",1,1,7.0,120,160,2
51,"JVC LT-55N775M 55"" UHD SMART TV",1,1,7.0,190,250,2
52,Hisense 40A4H-40A33EAVT 40'' FHD Smart TV,1,1,3.0,140,180,2
53,Samsung TU43CU7105KXXC 43'' Led TV,1,1,2.0,220,290,2
54,Samsung UA43AU7000UXKE/UA43CU7000UXKE 43'' Led TV,1,1,2.0,190,250,2
55,Xiaomi L43M6-6AEU 43” 4k smart TV,1,1,6.0,150,200,2
56,Hisense 50A6H-50A53FXVT 50'' 4K Smart TV,1,1,3.0,230,300,2
57,Hisense 55A6H-55A53FXVT 55'' 4K Smart TV,1,1,3.0,280,360,2
58,Samsung TU50CU7105KXXC 50'' Led TV,1,1,2.0,280,360,2
59,Hisense 58A6H-58A53FXVT 58'' 4K Smart TV,1,1,3.0,300,390,2
60,Samsung TU55CU7105KXXC 55'' Led TV,1,1,2.0,300,390,2
61,Hisense 65A6H/65A53FXVT 65'' 4K Smart TV,1,1,3.0,390,510,2
62,Samsung TU65CU7105KXXC 65'' Led TV,1,1,2.0,370,480,2
63,LG 65 Inch Class OLED evo AI C5 4K Smart TV 2025,1,1,8.0,1400,1820,2
64,LG 77 Inch Class OLED evo AI G5 4K Smart TV 2025 with Supplied Wall Mount,1,1,8.0,3500,4550,2
65,LG 55 Inch Class OLED B4 4K Smart TV 2024,1,1,8.0,1100,1430,2
66,LG 55 Inch Class UHD Series 4K UHD TV with webOS 24,1,1,8.0,350,460,2
67,Baseus Meteorite Shimmer Wireless Display Adapter,1,2,9.0,30,40,1
68,Baseus Cafule 4khdmi Adapter Cable 5m Black Cadklf-H01,1,2,9.0,10,15,1
69,Targus Laser Presentation Remote (EU) AMP13EU,1,2,10.0,20,30,1
70,Fracarro LP45F UHF Antenna,1,2,11.0,20,30,1
71,Philips SWV5510 1.5M HDMI 2.0 Cable 4K,1,2,1.0,8,10,1
72,HP 15 Core i5-1334U Natural Silver B1XD1EA,2,3,12.0,640,830,1
73,Acer Aspire Lite 16 AL16-52P-59PP (Light Silver) AL16-52P-510H,2,3,13.0,590,770,1
74,DELL 15 Platinum Silver Intel Core 3 100U,2,3,14.0,500,650,1
75,DELL 15 Platinum Silver Intel Core i7-1355U,2,3,14.0,730,950,1
76,DELL 15 Platinum Silver Intel Core i5-1334U,2,3,14.0,580,750,1
77,Acer Aspire Lite 14 AAL14-31P-C3LL Pure Silver,2,3,13.0,320,420,1
78,HP PAVILION X360 2-IN-1 Core i5 1335U,2,3,12.0,790,1030,1
79,Acer Aspire Go Intel Core i5-13420H,2,3,13.0,530,690,1
80,Acer Aspire Spin 14 Core 7 Processor 150U,2,3,13.0,920,1200,1
81,Acer Nitro V 15 Gaming Core i5-13420H ANV15-51-55AC,2,3,13.0,940,1220,1
82,Acer Aspire Spin 14 Core Ultra 5 Processor 115U,2,3,13.0,750,980,1
83,Huawei Matebook D16,2,3,15.0,620,810,1
84,Acer Nitro V 15 Gaming Core i5-13420H ANV15-51-55AC,2,3,13.0,940,1220,1
85,Acer Aspire Spin 14 Core Ultra 5 Processor 115U,2,3,13.0,750,980,1
86,Acer Aspire 3 Intel Core i7-1255U,2,3,13.0,650,850,1
87,HP VICTUS Ryzen 5-7640HS Mica Silver,2,3,12.0,1200,1560,1
88,LENOVO IdeaPad S100 Intel® Celeron® N4020 82V700KAUE,2,3,16.0,250,330,1
89,Acer Swift 14'' Intel Core i5-1335U,2,3,13.0,620,810,1
90,Acer Extensa Laptop Core i3 1215U Grey,2,3,13.0,370,480,1
91,Acer Extensa Laptop Core i5 1235U Grey,2,3,13.0,470,610,1
92,"Asus ExpertBook P1511CJA-I58256G2R Grey Notebook 15.6"" WXGA HD",2,3,17.0,280,360,1
93,Huawei MATEBOOK D 15 Core i7 MYSTIC SILVER,2,3,15.0,330,430,1
94,HP Victus RYZ 7-784OHS (886P7EA/BH5),2,3,12.0,780,1010,1
95,HP Pavilion Laptop 15-eg3146nia Core™ i5 1335U,2,3,12.0,370,480,1
96,Acer Aspire Laptop Celeron N4500 Silver,2,3,13.0,250,330,1
97,Acer Aspire Laptop Core i7 1165G7 Silver,2,3,13.0,540,700,1
98,HP 15 Core i7-1355U Natural Silver B0BP1EA,2,3,12.0,780,1010,1
99,HP 15 Core i3-1315U Natural Silver B1AL2EA,2,3,12.0,450,590,1
100,HUAWEI D 14 i3 3-1215U/8G/512GB,2,3,15.0,540,700,1
101,HP VICTUS Ryzen 5-7640HS Mica Silver,2,3,12.0,1200,1560,1
102,HP VICTUS Core i7-14650HX Blue,2,3,12.0,1350,1760,1
103,ASUS ExpertBook Intel® Core™ i3-1315U C433TA-M3832S0C,2,3,17.0,200,260,1
104,Acer Aspire Lite 14 Laptop - Core i3 N300 AL14-31P-37XQ,2,3,13.0,390,510,1
105,Acer Extensa Laptop Core i3 1215U Grey,2,3,13.0,370,480,1
106,Acer Extensa Laptop Core i5 1235U Grey,2,3,13.0,470,610,1
107,Acer Aspire Laptop Celeron N4500 Silver,2,3,13.0,250,330,1
108,Acer Aspire Laptop Core i7 1165G7 Silver,2,3,13.0,540,700,1
109,Acer Nitro V 15 Gaming Core i7-13620H ANV15-51-79HH,2,3,13.0,1060,1380,1
110,Dell Inspiron 3530 Core i7 Black,2,3,14.0,780,1010,1
111,HP 15 Core i3-1315U Natural Silver B1AL2EA,2,3,12.0,450,590,1
112,HP 15 Core i7-1355U Natural Silver B0BP1EA,2,3,12.0,780,1010,1
113,Dell Inspiron 3520 Silver Core i5 11 Gen,2,3,14.0,400,520,1
114,Dell Inspiron 3530 CORE i5 BLACK,2,3,14.0,560,730,1
115,HP VICTUS Core i7-14650HX Blue,2,3,12.0,1350,1760,1
116,Dell Inspiron 3530 CORE i3 BLACK,2,3,14.0,470,610,1
117,LENOVO IdeaPad S100 Intel® Celeron® N4020 82V700KAUE,2,3,16.0,250,330,1
118,Dell Inspiron 3520 Intel Core i3 1215U Silver,2,3,14.0,330,430,1
119,"Microsoft Surface Laptop SE 11.6"" Silver",2,3,18.0,90,120,1
120,Acer Nitro An515 Intel Core i5-11400H,2,3,13.0,760,990,1
121,VAIO Business Ultrabook SE14 Core i7 Gray,2,3,19.0,480,620,1
122,Acer Nitro V 15 Gaming Core i7-13620H ANV15-51-79HH,2,3,13.0,1060,1380,1
123,"LG gram Pro 16 Inch, Thin and Lightweight Laptop, Windows 11 Home, Intel Ultra 7, 32GB RAM, 2TB",2,3,8.0,2800,3640,1
124,"LG gram Pro 16 Inch, Thin and Lightweight Laptop, Windows 11 Home, Intel Ultra 7, 16GB RAM, 1TB",2,3,8.0,1700,2210,1
125,"LG gram Pro 16 Inch, Thin and Lightweight Laptop, Windows 11 Home, Intel Ultra 9, 32GB RAM, 2TB",2,3,8.0,3200,4160,1
126,"LG gram Pro 17 Inch, Thin and Lightweight Laptop, Windows 11 Home, Intel Ultra 7, 32GB RAM, 2TB",2,3,8.0,2900,3770,1
127,"LG gram Pro 17 Inch, Thin and Lightweight Laptop, Windows 11 Home, Intel Ultra 9, 32GB RAM, 2TB",2,3,8.0,3300,4290,1
128,"LG gram Pro 16 Inch OLED Thin and Lightweight Laptop, Intel Ultra 7 processor, Windows 11 Home,",2,3,8.0,1900,2470,1
129,LENOVO IdeaPad S300 Intel Core i5-1235U 82RK00RNUE,2,3,16.0,480,620,1
130,Asus Notebook Expertbook I5 8GB 512GB,2,3,17.0,370,480,1
131,ASUS EXPERTCENTER P500MV i7 + VA24EHF MONITOR,2,4,17.0,930,1210,1
132,ASUS EXPERTCENTER P500MV i5 + VA24EHF MONITOR,2,4,17.0,780,1010,1
133,"LENOVO D32Q-20 32"" QHD MONITOR",2,5,16.0,310,400,2
134,"LENOVO LEGION R45W-30 45"" DQHD PRO GAMING MONITOR",2,5,16.0,930,1210,2
135,"LENOVO LEGION R27i-90 27"" FHD 180Hz GAMING MONITOR",2,5,16.0,230,300,2
136,"LENOVO LEGION R27FC-30 27"" FHD CURVED MONITOR",2,5,16.0,280,360,2
137,"SAMSUNG ESSENTIAL 24"" S3 S30GD FHD MONITOR",2,5,2.0,100,130,2
138,"SAMSUNG ODYSSEY G90XF 27"" 3D 4K MONITOR",2,5,2.0,1140,1480,2
139,"Samsung 27"" Business monitor",2,5,2.0,160,210,2
140,"Samsung 28"" Odyssey G7 UHD monitor",2,5,2.0,500,650,2
141,"Samsung Business Monitor 24"" Ips",2,5,2.0,140,180,2
142,"MSI G255F Gaming Monitor 24.5"" FHD 180Hz",2,5,20.0,160,210,2
143,Xiaomi Desktop Monitor 27'' EU,2,5,6.0,140,180,2
144,"COOLER MASTER MONITOR GM27-FFS 27"" FHD 165Hz",2,5,21.0,200,260,2
145,"COOLER MASTER MONITOR GM34-CWQ2 34"" 2K 180Hz",2,5,21.0,470,610,2
146,Baseus Metal Gleam Series 7-Port Hub Space Grey (Hdmi4k@60hz-1+Usb3.0+Pd+Sd/Tf) B00030708811-00,2,6,9.0,30,40,1
147,Baseus Slim Laptop Kickstand (2pcs) Grey Luzc000013,2,6,9.0,10,15,1
148,Baseus Slim Laptop Kickstand (2pcs) Silver Luzc000012,2,6,9.0,10,15,1
149,Cooler Master CM100 Gaming Mouse,2,6,21.0,20,30,1
150,Baseus K01a Wireless Tri-Mode Keyboard Gray B00955503833-00,2,6,9.0,30,40,1
151,Baseus Lite Series 4-Port USB-A Hub Adapter Black (USB-A To USB 3.0*4) 25cm Wkqx030001,2,6,9.0,10,15,1
152,COOLER MASTER ERGOSTAND IV,2,6,21.0,30,40,1
153,HP USB Type C® Travel Hub G2 - Black,2,6,12.0,40,50,1
154,COOLER MASTER MM311 WIRELESS MOUSE BLACK,2,6,21.0,40,50,1
155,Baseus F01a Wireless Mouse Frosted Gray B01055502833-00,2,6,9.0,10,15,1
156,Baseus Working Station Multi-Func Type-C Hub Adapt Cahub-Bg0g,2,6,9.0,110,140,1
157,Baseus I-Wok Series Usb Light Pro Black Asymmetric Light Source Screen Hanging Dgiwk-P01,2,6,9.0,20,30,1
158,Baseus K01b Wireless Tri-Mode Keyboard Gray B00955504833-00,2,6,9.0,30,40,1
159,COOLER MASTER MP511 GAMING MOUSE PAD XXL,2,6,21.0,30,40,1
160,Baseus Ingenuity OTG Adaptor Type-C To USB - A 3.1 Blue Zjjq000003,2,6,9.0,15,25,1
161,Samsung WIS09ABGN Wireless Adaptor,2,6,2.0,30,45,1
162,Coolermaster Mousepad Bloody X-Thin B-088S,2,6,21.0,15,25,1
163,Coolermaster Mousepad Bloody Gaming RGB MP-80N,2,6,21.0,20,30,1
164,Coolermaster Mousepad Bloody Gaming RGB MP-50RS,2,6,21.0,10,15,1
165,RICO USB-C Hub 8-in-1,2,6,45,20,30,1
166,Logitech M350S Pebble 2 Bluetooth Mouse Graphite,2,6,22.0,20,30,1
167,Logitech MK120 US INTL Keyboard and Mouse Combo,2,6,22.0,10,15,1
168,Logitech G102 LIGHTSYNC RGB 6 Gaming Mouse Blue,2,6,22.0,20,30,1
169,Logitech G402 Hyperion Fury FPS Gaming Mouse,2,6,22.0,30,40,1
170,Logitech G502 Hero High Performance Gaming Mouse,2,6,22.0,50,70,1
171,Logitech M171 Wireless Mouse - Blue,2,6,22.0,10,15,1
172,Logitech G102 LIGHTSYNC RGB 6 Gaming Mouse Black,2,6,22.0,20,30,1
173,Targus W620 Wireless 4-Key Blue Trace Mouse Black AMW50EU,2,6,10.0,10,15,1
174,HP 230 Wireless Keyboard English - Black,2,6,12.0,20,30,1
175,COOLER MASTER MM711 LITE RGB GAMING MOUSE,2,6,21.0,20,30,1
176,ORICO Type-C Multifunction Docking Station,2,6,23.0,20,30,1
177,COOLER MASTER MM731 HYBRID GAMING MOUSE,2,6,21.0,60,80,1
178,COOLER MASTER NOTEPAL U2 PLUS V2 DUAL FAN,2,6,21.0,20,30,1
179,COOLER MASTER NOTEPAL U3 PLUS,2,6,21.0,20,30,1
180,COOLER MASTER MP511 GAMING MOUSE PAD L,2,6,21.0,20,30,1
181,COOLER MASTER MP511 GAMING MOUSE PAD XL,2,6,21.0,20,30,1
182,Mi Dual Mode Wireless Mouse Silent Edition (Black),2,6,6.0,10,15,1
183,ORICO USB-C Hub 8-in-1,2,6,23.0,20,30,1
184,Logitech M350S Pebble 2 Bluetooth Mouse Graphite,2,6,22.0,20,30,1
185,Logitech MK120 US INTL Keyboard and Mouse Combo,2,6,22.0,10,15,1
186,Logitech G102 LIGHTSYNC RGB 6 Gaming Mouse Blue,2,6,22.0,20,30,1
187,Logitech G402 Hyperion Fury FPS Gaming Mouse,2,6,22.0,30,40,1
188,Logitech G502 Hero High Performance Gaming Mouse,2,6,22.0,50,70,1
189,COOLER MASTER MP511 GAMING MOUSE PAD XL,2,6,21.0,20,30,1
190,BenQ Portable Smart Projector GV30,2,7,24.0,360,470,2
191,BenQ Home Cinema Smart PROJECTOR W4000i 4K,2,7,24.0,1940,2520,2
192,BenQ Portable Smart Projector GV11,2,7,24.0,370,480,2
193,Sony DAV-TZ140 DVD Home Theatre 5.1,3,8,5.0,60,80,2
194,Sony SA-D20 Home Theatre 2.1 channel 60W RMS power,3,8,5.0,80,100,2
195,"Philips TAB5309/10 Soundbar 2.1, 240W",3,9,1.0,120,160,1
196,Samsung HW-S800B Sound Bar,3,9,2.0,390,510,1
197,"Philips TAFB1/98 Soundbar 7.1.2, 620W",3,9,1.0,780,1010,1
198,Baseus Aequr DS10 Mini Soundbar Cluster Black A20054402111-00,3,9,9.0,30,40,1
199,Samsung HW-C400/ZA Sound Bar,3,9,2.0,80,100,1
200,Sony HT-S40R 600W Real 5.1 Ch Dolby Sound Bar,3,9,5.0,340,440,1
201,Sony HT-S400 Sound bar 2.1 channel 330W,3,9,5.0,280,360,1
202,Sony HTS20R Sound Bar,3,9,5.0,250,330,1
203,Sony HT-S500RF 1000W Real 5.1 Ch Dolby Sound Bar,3,9,5.0,420,550,1
204,"Philips TAB7908/10 Soundbar 5.1.2 , 740W",3,9,1.0,310,400,1
205,"Philips TAB4208/98 Soundbar 2.0 HDMI ARC, 60W",3,9,1.0,80,100,1
206,Sonos Beam Gen2 Compact Smart Soundbar - Black (S14),3,9,46,420,550,1
207,Samsung HW-C450/ZA Sound Bar,3,9,2.0,120,160,1
208,Hisense AX3100G 3.1 Channel 280W Sound Bar With Subwoofer,3,9,3.0,190,250,1
209,Hisense AX5100G 5.1 Channel 340W Sound Bar With Subwoofer,3,9,3.0,220,290,1
210,Samsung HW-A450 / XA AV Receiver,3,9,2.0,120,160,1
211,Sonos Arc Premium Smart Soundbar - White (S19),3,9,46,790,1030,1
212,Sonos Arc Premium Smart Soundbar - Black (S19),3,9,46,790,1030,1
213,Hisense HS212 Sound Bar,3,9,3.0,110,140,1
214,Sonos Ray Optical/WiFi Smart Soundbar White (S36),3,9,46,200,260,1
215,Blaupunkt SBW-300W Wireless Soundbar System,3,9,26.0,80,100,1
216,Pioneer SBX-301 Sound Bar,3,9,27.0,170,220,1
217,Samsung HW-T450/XA AV Receiver,3,9,2.0,120,160,1
218,Samsung HW-B450/XA AV Receiver,3,9,2.0,110,140,1
219,Pioneer VREC-H120Sc Car Dashcam,4,10,27.0,90,120,1
220,Canyon CND-DVR10 Car Video Recorder,4,10,29.0,60,80,1
221,Canyon CND-DVR40 Car Video Recorder,4,10,29.0,70,90,1
222,Canon EOS 250D (24 MP) Essential Travel Kit,4,10,30.0,640,830,1
223,Nikon Z30 Kit 16-50 Mirrorless Camera,4,10,31.0,730,950,1
224,Canon EOS 2000D (24 MP) Double IS/DC,4,10,30.0,530,690,1
225,Nikon Z 50 Nikkor Z DX 16-50mm,4,10,31.0,900,1170,1
226,Insta360 ONE RS 1-Inch 360 Edition,4,10,28.0,620,810,1
227,Pioneer VREC-H520Dc Car Dashcam,4,10,27.0,140,180,1
228,Canon EOS R50 BK + RTS 18-45 S EU26 Mirrorless,4,10,30.0,680,880,1
229,Canon EOS R100 + RF-S 18-45 IS STM EU26 Mirrorless,4,10,30.0,530,690,1
